"","refmet_name","super_class","main_class","sub_class","formula","exactmass","inchi_key","pubchem_cid","standard","pubchem_sid","KEGGID","chebiid"
"870","Carnosol","Prenol Lipids","Isoprenoids","Terpene lactones","C20H26O4","330.183109","XUSYGBPHQBWGAD-PJSUUKDQSA-N","442009",NA,11261,"C09069","3429"
"442","Carteolol","Organoheterocyclic compounds","Quinolones","Hydroquinolones","C16H24N2O3","292.1787","LWAFSWPYPHEXKX-UHFFFAOYSA-N","2583",NA,9091,"C06874","3437"
"530","Carvedilol","Organoheterocyclic compounds","Indoles","Carbazoles","C24H26N2O4","406.189257","OGHNVEJMJSYVRP-UHFFFAOYSA-N","2585",NA,9092,"C06875","3441"
"43","CE(16:0)","Sterol Lipids","Sterol esters","Chol. esters","C43H76O2","624.5845","BBJQPKLGPMQWBU-JADYGXMDSA-N","246520",NA,13428,"C11251","3663"
"949","Cys-Gly","Organic acids","Amino acids and peptides","Dipeptides","C5H10N2O3S","178.041215","ZUKPVRWZDMRIEO-VKHMYHEASA-N","439498",NA,4606,"C01419","4047"
"809","Glucose","Carbohydrates","Monosaccharides","Monosaccharides","C6H12O6","180.0634","WQZGKKKJIJFFOK-GASJEMHNSA-N","5793",NA,3333,"C00031","4167"
"483","Glucose 6-phosphate","Carbohydrates","Monosaccharides","Monosaccharide phosphates","C6H13O9P","260.0297","NBSCHQHZLSJFNQ-GASJEMHNSA-N","5958",NA,3392,"C00092","4170"
"393","D-Urobilinogen","Organoheterocyclic compounds","Bilirubins","Bilirubins","C33H42N4O6","590.3104","KSQFFJKKJAEKTB-UHFFFAOYSA-N","440784",NA,8086,"C05791","4260"
"586","Harman","Alkaloids","Harmala alkaloids","Harmala alkaloids","C12H10N2","182.084398","PSFDQSOCUJVVGF-UHFFFAOYSA-N","5281404",NA,11400,"C09209","5623"
"397","Hordenine","Benzenoids","Benzenes","Phenethylamines","C10H15NO","165.1154","KUBCEEMXQZUPDQ-UHFFFAOYSA-N","68313",NA,8449,"C06199","5764"
"20","Lenticin","Organoheterocyclic compounds","Indoles","Tryptamines","C14H18N2O2","246.1368","AOHCBEAZXHZMOR-ZDUSSCGKSA-N","442106",NA,11404,"C09213","5832"
"475","Isopimaric acid","Prenol Lipids","Isoprenoids","C20 isoprenoids","C20H30O2","302.2246","MXYATHGRPJZBNA-KRFUXDQASA-N","442048",NA,11310,"C09118","6039"
"346","L-Metanephrine","Benzenoids","Phenols","Methoxyphenols","C10H15NO3","197.105193","JWJCTZKFYGDABJ-VIFPVBQESA-N","688084",NA,7913,"C05588","6270"
"903","Normetanephrine","Benzenoids","Phenols","Methoxyphenols","C9H13NO3","183.0895","YNYAYWLBAHXHLL-QMMMGPOBSA-N","688100",NA,7914,"C05589","6277"
"307","Levorphanol","Alkaloids","Aromatic heteropolycyclic compounds","Morphinans","C17H23NO","257.177964","JAQUASYNZVUNQP-USXIJHARSA-N","5359272",NA,10214,"C08014","6444"
"878","Metformin","Organic nitrogen compounds","Guanidines","Biguanides","C4H11N5","129.1014","XZWYZXLIPXDOLR-UHFFFAOYSA-N","4091",NA,9360,"C07151","6801"
"300","Metoprolol","Benzenoids","Phenols","Tyrosols","C15H25NO3","267.1834","IUBSYMUCCVWXPE-UHFFFAOYSA-N","4171",NA,9411,"C07202","6904"
"758","Metronidazole","Organoheterocyclic compounds","Imidazoles","Nitroimidazoles","C6H9N3O3","171.0644","VAOCPAMSLUNLGC-UHFFFAOYSA-N","4173",NA,9412,"C07203","6909"
"199","N-Acetyl-D-glucosamine 1-phosphate","Carbohydrates","Monosaccharides","Acylaminosugars","C8H16NO9P","301.0563","FZLJPEPAYPUMMR-RTRLPJTCSA-N","440272",NA,6921,"C04256","7125"
"96","Naproxen","Benzenoids","Naphthalenes","Naphthalenes","C14H14O3","230.0943","CMWTZPSULFXXJA-VIFPVBQESA-N","156391",NA,4682,"C01517","7476"
"916","Nicotinuric acid","Organic acids","Amino acids and peptides","Amino acids","C8H8N2O3","180.0535","ZBSGKPYXQINNGF-UHFFFAOYSA-N","68499",NA,7754,"C05380","7563"
"454","Procaine","Benzenoids","Benzoic acids","Benzoic acid esters","C13H20N2O2","236.152478","MFDFERRIHVXMIY-UHFFFAOYSA-N","4914",NA,9579,"C07375","8430"
"166","Repaglinide","Organoheterocyclic compounds","Phenylpiperidines","Phenylpiperidines","C27H36N2O4","452.267508","FAEKWTJYAYMJKF-QHCPKHFHSA-N","65981",NA,9872,"C07670","8805"
"543","Salicyluric acid","Benzenoids","Benzamides","Hippuric acids","C9H9NO4","195.0532","ONJSZLXSECQROL-UHFFFAOYSA-N","10253",NA,9790,"C07588","9008"
"946","Streptozocin","Organic oxygen compounds","Monosaccharides","Hexoses","C8H15N3O7","265.091","ZSJLQEPLLKMAKR-GKHCUFPYSA-N","29327",NA,9521,"C07313","9288"
"721","Suberic acid","Fatty Acyls","Fatty acids","Dicarboxylic acids","C8H14O4","174.0892","TYFQFVWCELRYAO-UHFFFAOYSA-N","10457",NA,10476,"C08278","9300"
"329","Sulfamethoxazole","Benzenoids","Benzenes","Benzenesulfonyl compounds","C10H11N3O3S","253.052112","JLKIGFTWXXRPMT-UHFFFAOYSA-N","5329",NA,9523,"C07315","9332"
"34","Taurodeoxycholic acid","Sterol Lipids","Bile acids","C24 bile acids","C26H45NO6S","499.2968","AWDRATDZQPNJFN-VAYUFCLWSA-N","2733768",NA,14718480,NA,"9410"
"665","Ursodeoxycholic acid","Sterol Lipids","Bile acids","C24 bile acids","C24H40O4","392.2927","RUDATBOHQWOJDD-UZVSRGJWSA-N","31401",NA,10082,"C07880","9907"
"5","Valsartan","Organic acids","Amino acids and peptides","Amino acids","C24H29N5O3","435.22704","ACWBQPMHZXGDFX-QFIPXVFZSA-N","60846",NA,7847466,NA,"9927"
"793","Acetoacetic acid","Fatty Acyls","Fatty acids","Oxo FA","C4H6O3","102.0317","WDJHALXBUFZDSR-UHFFFAOYSA-N","96",NA,3464,"C00164","15344"
"642","Coenzyme A","Nucleic acids","Purines","Coenzyme A","C21H36N7O16P3S","767.1152","RGJOEKWQDUBAIZ-IBOSZNHHSA-N","87642",NA,3312,"C00010","15346"
"426","Acetylphosphate","Organic acids","Organic phosphoric acids","Phosphate esters","C2H5O5P","139.9875","LIPOUNRJVLNBCD-UHFFFAOYSA-N","186",NA,3527,"C00227","15350"
"947","Acetyl-CoA","Fatty Acyls","Fatty esters","Acyl CoAs","C23H38N7O17P3S","809.1258","ZSLZBFCDCINBPY-ZSJPKINUSA-N","444493",NA,1779,NA,"15351"
"525","Choline","Organic nitrogen compounds","Cholines","Cholines","C5H14NO","104.1075","OEYIOHPDSNJKLS-UHFFFAOYSA-N","305",NA,2233,NA,"15354"
"532","Acetylcholine","Organic nitrogen compounds","Cholines","Cholines","C7H16NO2","146.1181","OIPILFWXSMYKGL-UHFFFAOYSA-N","187",NA,2096,NA,"15355"
"74","Aspirin","Benzenoids","Phenols","Phenol esters","C9H8O4","180.0423","BSYNRYMUTXBXSQ-UHFFFAOYSA-N","2244",NA,4594,"C01405","15365"
"684","Retinoic acid","Prenol Lipids","Isoprenoids","Retinoids","C20H28O2","300.2089","SHGAZHPCJJPHSC-YCNIQYBTSA-N","444795",NA,4038,"C00777","15367"
"771","Succinyl-CoA","Fatty Acyls","Fatty esters","Acyl CoAs","C25H40N7O19P3S","867.1313","VNOYUJKHFWYWIR-ITIYDSSPSA-N","92133",NA,3391,"C00091","15380"
"933","ATP","Nucleic acids","Purines","Purine ribonucleoside triphosphates","C10H16N5O13P3","506.9958","ZKHQWZAMYRWXGA-KQYNXXCUSA-N","5957",NA,3304,"C00002","15422"
"134","Glycine","Organic acids","Amino acids and peptides","Amino acids","C2H5NO2","75.0320","DHMQDGOQFOQNFH-UHFFFAOYSA-N","750",NA,3339,"C00037","15428"
"369","Crotonoyl-CoA","Fatty Acyls","Fatty esters","Acyl CoAs","C25H40N7O17P3S","835.1414","KFWWCMJSYSSPSK-PAXLJYGASA-N","5497143",NA,4133,"C00877","15473"
"754","Isovaleryl-CoA","Fatty Acyls","Fatty esters","Acyl CoAs","C26H44N7O17P3S","851.1727","UYVZIWWBJMYRCD-ZMHDXICWSA-N","165435",NA,5858,"C02939","15487"
"877","gamma-Linolenoyl-CoA","Fatty Acyls","Fatty esters","Acyl CoAs","C39H64N7O17P3S","1027.3292","XZQYPTBYQYZGRU-FHDVEODPSA-N","11966132",NA,5940,"C03035","15508"
"314","Arachidonyl-CoA","Fatty Acyls","Fatty esters","Acyl CoAs","C41H66N7O17P3S","1053.3449","JDEPVTUUCBFJIW-YQVDHACTSA-N","5497113",NA,5312,"C02249","15514"
"108","Butyryl-CoA","Fatty Acyls","Fatty esters","Acyl CoAs","C25H42N7O17P3S","837.1571","CRFNGMNYKDXRTN-CITAKDKDSA-N","122283",NA,3436,"C00136","15517"
"901","Lauroyl-CoA","Fatty Acyls","Fatty esters","Acyl CoAs","C33H58N7O17P3S","949.2823","YMCXGHLSVALICC-GMHMEAMDSA-N","165436",NA,4951,"C01832","15521"
"715","Glutaryl-CoA","Fatty Acyls","Fatty esters","Acyl CoAs","C26H42N7O19P3S","881.1469","SYKWLIJQEHRDNH-CKRMAKSASA-N","3081383",NA,3810,"C00527","15524"
"458","Palmitoyl-CoA","Fatty Acyls","Fatty esters","Acyl CoAs","C37H66N7O17P3S","1005.3449","MNBKLUUYKPBKDU-BBECNAHFSA-N","644109",NA,3454,"C00154","15525"
"351","Eicosanoyl-CoA","Fatty Acyls","Fatty esters","Acyl CoAs","C41H74N7O17P3S","1061.4075","JYLSVNBJLYCSSW-IBYUJNRCSA-N","3081439",NA,5132,"C02041","15527"
"490","Itaconyl-CoA","Fatty Acyls","Fatty esters","Acyl CoAs","C26H40N7O19P3S","879.1313","NFVGYLGSSJPRKW-CITAKDKDSA-N","11966125",NA,3813,"C00531","15528"
"888","Linoleoyl-CoA","Fatty Acyls","Fatty esters","Acyl CoAs","C39H66N7O17P3S","1029.3449","YECLLIMZHNYFCK-RRNJGNTNSA-N","5497112",NA,5139,"C02050","15530"
"441","Malonyl-CoA","Fatty Acyls","Fatty esters","Acyl CoAs","C24H38N7O19P3S","853.1156","LTYOQGRJFJAKNA-DVVLENMVSA-N","644066",NA,3383,"C00083","15531"
"156","Myristoyl-CoA","Fatty Acyls","Fatty esters","Acyl CoAs","C35H62N7O17P3S","977.3136","DUAFKXOFBZQTQE-QSGBVPJFSA-N","11966124",NA,5585,"C02593","15532"
"387","Octanoyl-CoA","Fatty Acyls","Fatty esters","Acyl CoAs","C29H50N7O17P3S","893.2197","KQMZYOXOBSXMII-CECATXLMSA-N","445344",NA,5048,"C01944","15533"
"833","Oleoyl-CoA","Fatty Acyls","Fatty esters","Acyl CoAs","C39H68N7O17P3S","1031.3605","XDUHQPOXLUAVEE-BPMMELMSSA-N","5497111",NA,3793,"C00510","15534"
"595","Propionyl-CoA","Fatty Acyls","Fatty esters","Acyl CoAs","C24H40N7O17P3S","823.1414","QAQREVBBADEHPA-IEXPHMLFSA-N","92753",NA,3400,"C00100","15539"
"687","Stearoyl-CoA","Fatty Acyls","Fatty esters","Acyl CoAs","C39H70N7O17P3S","1033.3762","SIARJEKBADXQJG-LFZQUHGESA-N","94140",NA,3702,"C00412","15541"
"49","PGA1","Fatty Acyls","Eicosanoids","Prostaglandins","C20H32O4","336.2301","BGKHCLZFGPIKKU-LDDQNKHRSA-N","5281912",NA,599055,NA,"15545"
"835","PGE2","Fatty Acyls","Eicosanoids","Prostaglandins","C20H32O5","352.2250","XEYBRNLFEZDVAW-ARSRFYASSA-N","5280360",NA,3863,"C00584","15551"
"591","PGF2alpha","Fatty Acyls","Eicosanoids","Prostaglandins","C20H34O5","354.2406","PXGPLTODNUVGFL-YNNPMVKQSA-N","5280363",NA,3912,"C00639","15553"
"53","PGD2","Fatty Acyls","Eicosanoids","Prostaglandins","C20H32O5","352.2250","BHMBVRSPMRCCGG-OUTUXVNYSA-N","448457",NA,3964,"C00696","15555"
"336","15S-HETE","Fatty Acyls","Eicosanoids","HETE","C20H32O3","320.2351","JSFATNQSLKRBCI-VAEKSGALSA-N","5280724",NA,7313,"C04742","15558"
"657","Leucine","Organic acids","Amino acids and peptides","Amino acids","C6H13NO2","131.0946","ROHFNLRQFUQHCH-YFKPBYRVSA-N","6106",NA,3423,"C00123","15603"
"189","Sarcosine","Organic acids","Amino acids and peptides","Amino acids","C3H7NO2","89.0477","FSYKKLYZXJSNPZ-UHFFFAOYSA-N","1088",NA,3513,"C00213","15611"
"772","LTB4","Fatty Acyls","Eicosanoids","Leukotrienes","C20H32O4","336.2301","VNYSSYRCGWBHLG-AMOLWHMGSA-N","5280492",NA,5240,"C02165","15647"
"125","XMP","Nucleic acids","Purines","Purine ribonucleoside monophosphates","C10H13N4O9P","364.0420","DCTLYFZHFGENCW-UUOKFMHZSA-N","73323",NA,3925,"C00655","15652"
"574","Allantoin","Organoheterocyclic compounds","Ureas","Ureides","C4H6N4O3","158.0440","POJWUDADGALRAB-SFOWXEAESA-N","439714",NA,5397,"C02350","15678"
"93","Deoxycytidine","Nucleic acids","Pyrimidines","Pyrimidine deoxyribonucleosides","C9H13N3O4","227.0906","CKTSBUTUHBMZGZ-SHYZEUOFSA-N","13711",NA,2618,NA,"15698"
"740","Homoserine","Organic acids","Amino acids and peptides","Amino acids","C4H9NO3","119.0582","UKAUYVFTDYCKQA-VKHMYHEASA-N","12647",NA,3561,"C00263","15699"
"567","UTP","Nucleic acids","Pyrimidines","Pyrimidine ribonucleoside triphosphates","C9H15N2O15P3","483.9685","PGAVKCOVUIYSFO-XVFCMESISA-N","6133",NA,3375,"C00075","15713"
"318","Sedoheptulose 7-phosphate","Carbohydrates","Monosaccharides","Monosaccharide phosphates","C7H15O10P","290.0403","JDTUMPKOJBQPKX-GBNDHIKLSA-N","165007",NA,7756,"C05382","15721"
"752","Trimethylamine N-oxide","Organic nitrogen compounds","Amine oxides","Trisubstituted amine oxides","C3H9NO","75.0684","UYPYRKYUKCHHIB-UHFFFAOYSA-N","1145",NA,4338,"C01104","15724"
"106","Carnosine","Organic acids","Amino acids and peptides","Hybrid peptides","C9H14N4O3","226.1066","CQOVPNPJLQNMDC-ZETCQYMHSA-N","439224",NA,3676,"C00386","15727"
"717","4-Guanidinobutanoic acid","Organic acids","Amino acids and peptides","Amino acids","C5H11N3O2","145.0851","TUHVEAJXIMEOSA-UHFFFAOYSA-N","500",NA,4278,"C01035","15728"
"15","Ornithine","Organic acids","Amino acids and peptides","Amino acids","C5H12N2O2","132.0899","AHLPHDHHMVZTML-BYPYZUCNSA-N","6262",NA,3377,"C00077","15729"
"362","Succinic acid","Organic acids","TCA acids","TCA acids","C4H6O4","118.0266","KDYFGRWQOYBRFD-UHFFFAOYSA-N","1110",NA,3344,"C00042","15741"
"563","Spermine","Organic nitrogen compounds","Amines","Dialkylamines","C10H26N4","202.2157","PFNFFQXMRSDOHW-UHFFFAOYSA-N","1103",NA,4012,"C00750","15746"
"293","Palmitic acid","Fatty Acyls","Fatty acids","Saturated FA","C16H32O2","256.2402","IPCSVZSSVZVIGE-UHFFFAOYSA-N","985",NA,3548,"C00249","15756"
"164","Tyramine","Benzenoids","Benzenes","Phenethylamines","C8H11NO","137.0841","DZGWFCGJZKJUFP-UHFFFAOYSA-N","5610",NA,3766,"C00483","15760"
"815","DOPA","Organic acids","Benzenediols","Catecholamines","C9H11NO4","197.0688","WTDRDQBEARUVNC-LURJTMIESA-N","6047",NA,3648,"C00355","15765"
"557","Cyclohexylamine","Organic nitrogen compounds","Cyclohexylamines","Cyclohexylamines","C6H13N","99.1048","PAFZNILMFXTMIY-UHFFFAOYSA-N","7965",NA,3850,"C00571","15773"
"71","N-Acetyl-glucosamine 6-phosphate","Carbohydrates","Monosaccharides","Acylaminosugars","C8H16NO9P","301.0563","BRGMHAYQAZFZDJ-RTRLPJTCSA-N","440996",NA,3650,"C00357","15784"
"799","3-Hydroxyanthranilic acid","Benzenoids","Benzoic acids","Hydroxybenzoic acids","C7H7NO3","153.0426","WJXSWCUQABXPFS-UHFFFAOYSA-N","86",NA,3905,"C00632","15793"
"82","Phosphoserine","Organic acids","Amino acids and peptides","Amino acids","C3H8NO6P","185.0089","BZQFBWGGLXLEPQ-REOHCLBHSA-N","68841",NA,4251,"C01005","15811"
"40","NAD+","Nucleic acids","Nicotinamides","Nicotinamide dinucleotides","C21H28N7O14P2","664.1170","BAWFJGJZGIEFAR-NNYOXOHSSA-O","5893",NA,3305,"C00003","15846"
"431","Quinine","Alkaloids","Aromatic heteropolycyclic compounds","Cinchona alkaloids","C20H24N2O2","324.1838","LOUPRKONTZGTKE-WZBLMQSHSA-N","3034034",NA,598422,NA,"15854"
"840","Glucosamine 6-phosphate","Carbohydrates","Monosaccharides","Amino sugars","C6H14NO8P","259.0457","XHMJOUIAFHJHBW-UKFBFLRUSA-N","439217",NA,7887916,NA,"15873"
"327","5-Aminopentanoic acid","Fatty Acyls","Fatty acids","Amino FA","C5H11NO2","117.0790","JJMDCOVWQOJGCB-UHFFFAOYSA-N","138",NA,3720,"C00431","15887"
"854","Taurine","Organic acids","Sulfonic acids","Sulfonic acids","C2H7NO3S","125.0147","XOAAWQZATWQOTB-UHFFFAOYSA-N","1123",NA,3544,"C00245","15891"
"534","Dihydrouracil","Nucleic acids","Pyrimidines","Pyrimidines","C4H6N2O2","114.0429","OIVLITBTBDPEFK-UHFFFAOYSA-N","649",NA,2631,NA,"15901"
"526","Adenylsuccinic acid","Nucleic acids","Purines","Purine ribonucleoside monophosphates","C14H18N5O11P","463.074043","OFBHPPMPBOJXRT-DPXQIYNJSA-N","440122",NA,8145647,NA,"15919"
"206","Methyl jasmonate","Fatty Acyls","Octadecanoids","Jasmonic acids","C13H20O3","224.1412","GEWDNTWNSAZUDX-WQMVXFAESA-N","5281929",NA,13682,"C11512","15929"
"589","Nicotinic acid","Organoheterocyclic compounds","Pyridines","Pyridinecarboxylic acids","C6H5NO2","123.0320","PVNIIMVLHYAWGP-UHFFFAOYSA-N","938",NA,3552,"C00253","15940"
"882","Biotin","Organoheterocyclic compounds","Heterocyclic compounds","Biotin","C10H16N2O3S","244.0882","YBJHBAHKTGYVGT-ZKWXMUAHSA-N","171548",NA,3420,"C00120","15956"
"382","3-Guanidinopropanoic acid","Organic nitrogen compounds","Guanidines","Guanidines","C4H9N3O2","131.0695","KMXXSJLYVJEBHI-UHFFFAOYSA-N","67701",NA,5965,"C03065","15968"
"258","Histidine","Organic acids","Amino acids and peptides","Amino acids","C6H9N3O2","155.0695","HNDVDQJCIGZPNO-YFKPBYRVSA-N","6274",NA,3435,"C00135","15971"
"35","sn-Glycero-3-phosphate","Organic acids","Organic phosphoric acids","Organic phosphoric acids","C3H9O6P","172.0137","AWUCVROLDVIAJX-GSVOUGTGSA-N","439162",NA,3393,"C00093","15978"
"281","Ethanolamine","Organic nitrogen compounds","Alkanolamines","1,2-aminoalcohols","C2H7NO","61.0528","HZAXFHJVJLSVMW-UHFFFAOYSA-N","700",NA,3489,"C00189","16000"
"341","Hydroxyphenyllactic acid","Polyketides","Phenylpropanoids","Phenylpropanoic acids","C9H10O4","182.0579","JVGVDSSUAVXRDY-MRVPVSSYSA-N","440177",NA,6685,"C03964","16003"
"798","Glutamic acid","Organic acids","Amino acids and peptides","Amino acids","C5H9NO4","147.0532","WHUUTDBJXJRKMK-VKHMYHEASA-N","33032",NA,3327,"C00025","16015"
"210","1-Methyladenosine","Nucleic acids","Purines","Purine ribonucleosides","C11H15N5O4","281.1124","GFYLSDSUCHVORB-IOSLPCCCSA-N","27476",NA,5506,"C02494","16020"
"727","AMP","Nucleic acids","Purines","Purine ribonucleoside monophosphates","C10H14N5O7P","347.0631","UDMBCSSLTHHNCD-KQYNXXCUSA-N","6083",NA,3322,"C00020","16027"
"942","1H-Indole-3-acetamide","Organoheterocyclic compounds","Indoles","Tryptamines","C10H10N2O","174.0793","ZOAMBXDOGPRZLP-UHFFFAOYSA-N","397",NA,2351,NA,"16031"
"608","Androsterone","Sterol Lipids","Steroids","C19 steroids","C19H30O2","290.2246","QGXBDMJGAMFCBF-HLUDHZFRSA-N","5879",NA,2144,NA,"16032"
"544","Cytosine","Nucleic acids","Pyrimidines","Pyrimidones","C4H5N3O","111.0433","OPTASPLRGRRNAP-UHFFFAOYSA-N","597",NA,2563,NA,"16040"
"48","11alpha-Hydroxyprogesterone","Sterol Lipids","Steroids","C21 steroids","C21H30O3","330.2195","BFZHCUBIASXHPK-QJSKAATBSA-N","92730",NA,855849,NA,"16076"
"51","Fructose 6-phosphate","Carbohydrates","Monosaccharides","Monosaccharide phosphates","C6H13O9P","260.029719","BGWGXPAPYGQALX-ARQDHWQXSA-N","440641",NA,7723,"C05345","16084"
"90","3-(2-Hydroxyphenyl)propanoic acid","Polyketides","Phenylpropanoids","Phenylpropanoic acids","C9H10O3","166.0630","CJBDUOMQLFKVQC-UHFFFAOYSA-N","873",NA,4423,"C01198","16104"
"227","Dihydroxyacetone phosphate","Organic acids","Short-chain acids","Short-chain acids","C3H7O6P","169.9980","GNGACRATGGDKBX-UHFFFAOYSA-N","668",NA,3411,"C00111","16108"
"273","Cholesterol","Sterol Lipids","Sterols","Cholesterols","C27H46O","386.3549","HVYWMOMLDIMFJA-DPAQBDIFSA-N","5997",NA,2231,NA,"16113"
"348","Shikimic acid","Organic oxygen compounds","Cyclic alcohols","Cyclitols","C7H10O5","174.0528","JXOHGGNKMLTUBP-HSUXUTPPSA-N","8742",NA,3776,"C00493","16119"
"228","o-Succinylhomoserine","Organic acids","Amino acids and peptides","Amino acids","C8H13NO6","219.0743","GNISQJGXJIDKDJ-YFKPBYRVSA-N","439406",NA,4349,"C01118","16160"
"944","Oleic acid","Fatty Acyls","Fatty acids","Unsaturated FA","C18H34O2","282.2559","ZQPPMHVWECSIRJ-KTKRTIGZSA-N","445639",NA,3978,"C00712","16196"
"569","Gluconolactone","Carbohydrates","Monosaccharides","Gluconolactones","C6H10O6","178.0477","PHOQVHQSTUBQQK-SQOUGZDYSA-N","7027",NA,2749,NA,"16217"
"787","FAD","Nucleic acids","Flavins","Flavin nucleotides","C27H33N9O15P2","785.1571","VWWQXMAJTJZDQX-UYBVJOGSSA-N","643975",NA,3318,"C00016","16238"
"636","Quercetin","Polyketides","Flavonoids","Flavones and Flavonols","C15H10O7","302.0427","REFJWTPEDVJJIY-UHFFFAOYSA-N","5280343",NA,3679,"C00389","16243"
"323","3-Dehydroxycarnitine","Fatty Acyls","Fatty esters","Short-chain acyl carnitines","C7H15NO2","145.1103","JHPNVNIEXXLNTR-UHFFFAOYSA-N","725",NA,2733,NA,"16244"
"943","L-Histidinol","Organic nitrogen compounds","Amines","Aralkylamines","C6H11N3O","141.0902","ZQISRDCJNBUVMM-YFKPBYRVSA-N","165271",NA,4117,"C00860","16255"
"85","N-Acetylphenylalanine","Organic acids","Amino acids and peptides","Amino acids","C11H13NO3","207.0895","CBQJSKKFNMDLON-JTQLQIEISA-N","74839",NA,6328,"C03519","16259"
"423","UDP-N-acetylglucosamine","Nucleic acids","Pyrimidines","Pyrimidine ribonucleoside diphosphates","C17H27N3O17P2","607.0816","LFTYTUAZOPRMMI-CFRASDGPSA-N","445675",NA,3345,"C00043","16264"
"420","Cystine","Organic acids","Amino acids and peptides","Amino acids","C6H12N2O4S2","240.023848","LEVWYRKDKASIDU-IMJSIDKUSA-N","67678",NA,3774,"C00491","16283"
"707","dATP","Nucleic acids","Purines","Purine deoxyribonucleoside triphosphates","C10H16N5O12P3","491.0008","SUYVUBYJARFZHO-RRKCRQDMSA-N","15993",NA,3431,"C00131","16284"
"263","Barbituric acid","Nucleic acids","Pyrimidines","Barbituric acid derivatives","C4H4N2O3","128.0222","HNYOPLTXPVRDBG-UHFFFAOYSA-N","6211",NA,4071,"C00813","16294"
"643","dCTP","Nucleic acids","Pyrimidines","Pyrimidine deoxyribonucleoside triphosphates","C9H16N3O13P3","466.9896","RGWHQCVHVJXOKC-SHYZEUOFSA-N","65091",NA,3742,"C00458","16311"
"695","Lithocholic acid","Sterol Lipids","Bile acids","C24 bile acids","C24H40O3","376.2977","SMEROWZSTRWXGI-HVATVPOCSA-N","9903",NA,6705,"C03990","16325"
"182","Xylulose 5-phosphate","Carbohydrates","Monosaccharides","Monosaccharide phosphates","C5H11O8P","230.0192","FNZLKVNUWIIPSJ-RFZPGFLSSA-N","439190",NA,3530,"C00231","16332"
"533","Adenosine","Nucleic acids","Purines","Purine ribonucleosides","C10H13N5O4","267.0968","OIRDTQYFTABQOQ-KQYNXXCUSA-N","60961",NA,2103,NA,"16335"
"744","2-Hydroxyphenethylamine","Benzenoids","Benzenes","Benzyl alcohols","C8H11NO","137.0841","ULSIYEODSMZIPX-UHFFFAOYSA-N","1000",NA,5696,"C02735","16343"
"69","Guanidoacetic acid","Organic acids","Amino acids and peptides","Amino acids","C3H7N3O2","117.0538","BPMFZUMJYQTVII-UHFFFAOYSA-N","763",NA,3860,"C00581","16344"
"568","Carnitine","Organic nitrogen compounds","Carnitines","Carnitines","C7H15NO3","161.1052","PHIQHXFUZVPYII-ZCFIWIBFSA-N","10917",NA,2207,NA,"16347"
"647","Citrulline","Organic acids","Amino acids and peptides","Amino acids","C6H13N3O3","175.0957","RHGKLRLOHDJJDR-BYPYZUCNSA-N","9750",NA,3621,"C00327","16349"
